;BIP Version: 05.07.00
;Revision Number: 2.0
;Last Changed: Fri Mar 26 10:18:32 2004
;By: BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schall
;Package Version: 00000000

;ECU:MS 43.0 fuer M54 mit EWS 3
;ORIGIN:BMW TI-431 Schaller
;REVISION:2.00
;AUTHOR:BMW EA-33 Muellerwiebus, BMW TI-431 Schiefer, BMW TI-431 Schaller
;ECUCOMMENT:


TBEG "FORTTEXTE"
HEAD "ORT", "ORTTEXT", "UW_1", "UW_2", "UW_3", "UW_4"
LINE "0x02", "0x00", "0x21", "0x00", "0x19", "0x00", "0x73", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x03", "0x00", "0x21", "0x00", "0x19", "0x00", "0x73", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x05", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x06", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x08", "0x00", "0x2A", "0x00", "0x27", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x0A", "0x00", "0x2B", "0x00", "0x24", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x0B", "0x00", "0x2B", "0x00", "0x24", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x0C", "0x00", "0x60", "0x00", "0x00", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x0D", "0x00", "0x86", "0x00", "0x00", "0x00", "0x00", "0x00", "0x87", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x0E", "0x00", "0x2B", "0x00", "0x24", "0x00", "0x00", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x0F", "0x00", "0x00", "0x00", "0x24", "0x00", "0x8A", "0x00", "0x89", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x10", "0x00", "0x3E", "0x00", "0x3F", "0x00", "0x00", "0x00", "0x88", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x11", "0x00", "0x00", "0x00", "0x24", "0x00", "0x00", "0x00", "0x85", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x12", "0x00", "0x00", "0x00", "0x00", "0x00", "0x72", "0x00", "0x52", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x13", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x15", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x16", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
LINE "0x17", "0x00", "0x28", "0x00", "0x24", "0x00", "0x6A", "0x00", "0x00", "0x01", "0x15", "0x04", "0x14", "0x02", "0x16", "0x05", "0x74"
